release,release_kind,release_date,other_share,other_weighted_churn_points,total_weighted_churn_points,top_paths
rust-v0.99.0-alpha.14,prerelease,2026-02-10T01:46:47-08:00,0.2983,600.0,2011.38,codex-rs/network-proxy/src/proxy.rs (512); codex-rs/network-proxy/src/socks5.rs (25); codex-rs/network-proxy/src/http_proxy.rs (23); codex-rs/network-proxy/src/admin.rs (21); codex-rs/utils/rustls-provider/src/lib.rs (12); codex-rs/network-proxy/src/lib.rs (7)
rust-v0.99.0-alpha.25,prerelease,2026-02-11T11:37:25Z,0.0796,269.0,3378.9,codex-rs/backend-client/src/client.rs (219); codex-rs/codex-backend-openapi-models/src/models/additional_rate_limit_details.rs (38); codex-rs/codex-backend-openapi-models/src/models/rate_limit_status_payload.rs (8); codex-rs/codex-backend-openapi-models/src/models/mod.rs (3); codex-rs/backend-client/src/types.rs (1)
rust-v0.100.0-alpha.11,prerelease,2026-02-12T17:15:57Z,0.0834,41.0,491.4,codex-rs/utils/sanitizer/src/lib.rs (41)
rust-v0.102.0-alpha.2,prerelease,2026-02-13T09:38:27Z,0.7006,637.0,909.2,codex-rs/network-proxy/src/runtime.rs (237); codex-rs/network-proxy/src/http_proxy.rs (164); codex-rs/network-proxy/src/proxy.rs (83); codex-rs/network-proxy/src/responses.rs (66); codex-rs/network-proxy/src/metadata.rs (50); codex-rs/network-proxy/src/socks5.rs (26); .codespellignore (4); codex-rs/network-proxy/src/lib.rs (2)
rust-v0.102.0-alpha.5,prerelease,2026-02-13T18:35:16Z,0.1693,302.0,1783.5,codex-rs/utils/sleep-inhibitor/src/macos_inhibitor.rs (192); codex-rs/utils/sleep-inhibitor/src/lib.rs (94); codex-rs/utils/sleep-inhibitor/src/dummy.rs (16)
rust-v0.102.0-alpha.7,prerelease,2026-02-14T11:19:45-08:00,0.0527,183.0,3475.3,codex-rs/network-proxy/src/runtime.rs (122); codex-rs/network-proxy/src/proxy.rs (30); codex-rs/docs/bazel.md (15); scripts/check-module-bazel-lock.sh (8); codex-rs/network-proxy/src/lib.rs (4); AGENTS.md (4)
rust-v0.102.0-alpha.10,prerelease,2026-02-16T23:12:08-08:00,0.2233,32.0,143.3,codex-rs/shell-command/src/bash.rs (32)
rust-v0.104.0-alpha.1,prerelease,2026-02-17T18:21:43-08:00,0.0625,75.0,1200.1,codex-rs/network-proxy/src/http_proxy.rs (45); codex-rs/network-proxy/src/proxy.rs (30)
rust-v0.105.0-alpha.8,prerelease,2026-02-20T18:18:12Z,0.5249,363.0,691.6,codex-rs/utils/sleep-inhibitor/src/macos_inhibitor.rs (192); codex-rs/utils/sleep-inhibitor/src/macos.rs (107); codex-rs/utils/sleep-inhibitor/src/iokit_bindings.rs (27); codex-rs/utils/sleep-inhibitor/src/lib.rs (25); codex-rs/utils/sleep-inhibitor/src/dummy.rs (12)
rust-v0.105.0-alpha.9,prerelease,2026-02-20T14:49:16-08:00,0.1064,433.0,4067.8,codex-rs/network-proxy/src/runtime.rs (117); codex-rs/network-proxy/src/config.rs (107); codex-rs/network-proxy/src/proxy.rs (56); codex-rs/network-proxy/src/http_proxy.rs (54); codex-rs/network-proxy/src/metadata.rs (50); codex-rs/network-proxy/src/state.rs (21); codex-rs/feedback/src/lib.rs (17); codex-rs/network-proxy/src/socks5.rs (8)
rust-v0.105.0-alpha.15,prerelease,2026-02-23T16:17:54Z,0.1778,43.0,241.9,codex-rs/utils/string/src/lib.rs (43)
